Name,link,Budget places (total),Lowest score budget,Paid places,Average cost (₽),Teachers with scientists step(%),Education level,Specialties
Институт международных экономических связей,https://vuzopedia.ru/vuz/704,0,0.0,2380,176815,85.71,"Бакалавриат, Специалитет","Бизнес-информатика, Государственное и муниципальное управление, Менеджмент, Педагогическое образование, Психология"
Московский технический университет связи и информатики,https://vuzopedia.ru/vuz/99,1157,78.15,1553,248046,66.67,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Бизнес-информатика, Инфокоммуникационные технологии и системы связи, Информатика и вычислительная техника, Информационная безопасность"
Московский государственный университет геодезии и картографии,https://vuzopedia.ru/vuz/530,1308,70.33,705,256462,53.52,"Бакалавриат, Специалитет, Магистратура","Архитектура, Геодезия и дистанционное зондирование, Государственное и муниципальное управление, Градостроительство, Землеустройство и кадастры"
Московский городской педагогический университет,https://vuzopedia.ru/vuz/157,2885,87.78,6110,251203,74.38,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Бизнес-информатика, Востоковедение и африканистика, Государственное и муниципальное управление, Декоративно-прикладное искусство и народные промыслы"
Уфимский государственный нефтяной технический университет,https://vuzopedia.ru/vuz/2495,2749,72.22,2539,129573,70.37,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Биотехнология, Геология, Гостиничное дело"
Московская академия предпринимательства при Правительстве Москвы,https://vuzopedia.ru/vuz/2003,0,0.0,4710,96753,85.58,"Бакалавриат, Магистратура","Государственное и муниципальное управление, Дизайн, Информационные системы и технологии, Лингвистика, Менеджмент"
Московский институт психоанализа,https://vuzopedia.ru/vuz/778,86,0.0,8500,161809,77.0,"Бакалавриат, Специалитет, Магистратура","Биология, Клиническая психология, Культурология, Психология, Психолого-педагогическое образование"
Финансовый университет при Правительстве российской Федерации,https://vuzopedia.ru/vuz/510,2739,92.67,3532,370391,77.07,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Гостиничное дело, Государственное и муниципальное управление, Инноватика, Информационная безопасность"
Российский биотехнологический университет,https://vuzopedia.ru/vuz/5154,1466,79.23,1235,278535,91.32,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Биоинженерия и биоинформатика, Биология, Биотехнология, Ветеринария"
Московский финансово-юридический университет,https://vuzopedia.ru/vuz/819,9,79.67,17225,165187,95.12,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Государственное и муниципальное управление, Дизайн, Журналистика, Землеустройство и кадастры"
